repo,url,stars,loc
steverzag/result-pattern-exception-handling-demo,https://github.com/steverzag/result-pattern-exception-handling-demo,0,2287
lucasonzta/deznity-core,https://github.com/lucasonzta/deznity-core,0,95234
rpp36-sdc-smtp/smtp-othniel-reviews,https://github.com/rpp36-sdc-smtp/smtp-othniel-reviews,0,11603
go-automate/k6-typescript-framework,https://github.com/go-automate/k6-typescript-framework,88,5250
omnine/k6,https://github.com/omnine/k6,0,3472
JamesGrant1811/k6-udemy,https://github.com/JamesGrant1811/k6-udemy,0,429
fuji-184/FNode_HTTP,https://github.com/fuji-184/FNode_HTTP,0,1633
GHesericsu/cloudStay-PhotoGallery,https://github.com/GHesericsu/cloudStay-PhotoGallery,0,18648
justLxy/PointPulse,https://github.com/justLxy/PointPulse,1,99195
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,0,6033
DFE-Digital/academies-api,https://github.com/DFE-Digital/academies-api,3,248498
hanghae-plus-5th/hhplus-e-commerce,https://github.com/hanghae-plus-5th/hhplus-e-commerce,0,9986
liweiyuan/students-manager,https://github.com/liweiyuan/students-manager,0,679
wayter95/benchmarks-monotlito-microservices,https://github.com/wayter95/benchmarks-monotlito-microservices,0,11344
0xlildoudou/simple-stress-test,https://github.com/0xlildoudou/simple-stress-test,0,995
kennedyoliveira/hltb-proxy,https://github.com/kennedyoliveira/hltb-proxy,0,39809
grafana/xk6-client-prometheus-remote,https://github.com/grafana/xk6-client-prometheus-remote,28,4454
edusoftpro/js-k6,https://github.com/edusoftpro/js-k6,0,5127
bumberboy/xk6-connectrpc,https://github.com/bumberboy/xk6-connectrpc,6,10936
sidharthv96/tambola,https://github.com/sidharthv96/tambola,0,2974
vunetsystems/Load-Testing-Tool,https://github.com/vunetsystems/Load-Testing-Tool,0,83564
HugoBouttes/poc-queen-mongodb,https://github.com/HugoBouttes/poc-queen-mongodb,0,382207
NelsonBN/samples-k6-tests,https://github.com/NelsonBN/samples-k6-tests,0,1143
wisehero/hhplus-ecommerce,https://github.com/wisehero/hhplus-ecommerce,0,14882
joatmon08/spinnaker-consul,https://github.com/joatmon08/spinnaker-consul,4,4622
AratKruglik/octane-tests,https://github.com/AratKruglik/octane-tests,0,13191
Magnificent-Malasada/productOverview,https://github.com/Magnificent-Malasada/productOverview,0,8369
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,0,42021
elrison/test-k6,https://github.com/elrison/test-k6,0,1469
shardie-github/floyo,https://github.com/shardie-github/floyo,1,233319
Jacqueline-Tsai/code-autograder-web-app,https://github.com/Jacqueline-Tsai/code-autograder-web-app,0,1539
gpiechnik2/k6-boilerplate,https://github.com/gpiechnik2/k6-boilerplate,5,295821
J-reyes132/api-test-k6,https://github.com/J-reyes132/api-test-k6,0,8148
nexoqa/nexoqa_training_eng_adv_k6,https://github.com/nexoqa/nexoqa_training_eng_adv_k6,0,247
qcoop918/k6-bookstore-tests,https://github.com/qcoop918/k6-bookstore-tests,0,884656
jwcastillo/0_to_100_k6,https://github.com/jwcastillo/0_to_100_k6,6,7111
ChervyachokMigo/osu-tools,https://github.com/ChervyachokMigo/osu-tools,0,14235
fernandoescolar/xk6-azservicebus,https://github.com/fernandoescolar/xk6-azservicebus,2,1460
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,7,20198
Parallels/prl-devops-service,https://github.com/Parallels/prl-devops-service,21,162020
S6-LT/LumbridgeTimes,https://github.com/S6-LT/LumbridgeTimes,0,82684
ekacs/K6-script-collection,https://github.com/ekacs/K6-script-collection,0,1390
aquonAttheHub/data-science-2023-2024,https://github.com/aquonAttheHub/data-science-2023-2024,0,156267
vifor/faas-to-iaas-migration-framework,https://github.com/vifor/faas-to-iaas-migration-framework,0,42012
HappyPathsOnly/k6-more-examples,https://github.com/HappyPathsOnly/k6-more-examples,0,5500
surajvm1/LearningMicroservices,https://github.com/surajvm1/LearningMicroservices,0,2284
VladisSuh/StartupPCConfigurator,https://github.com/VladisSuh/StartupPCConfigurator,0,18202
hr-rfp55-sdc2-cucco/Project-Atelier-Reviews-API,https://github.com/hr-rfp55-sdc2-cucco/Project-Atelier-Reviews-API,0,6063
PurpleFishh/muzici,https://github.com/PurpleFishh/muzici,0,142307
CrisDev2509/Sistema-Web-Hamburgueseria,https://github.com/CrisDev2509/Sistema-Web-Hamburgueseria,0,451912
pleasebelieveme/merong,https://github.com/pleasebelieveme/merong,0,4027
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,2,508401
owncloud/cdperf,https://github.com/owncloud/cdperf,11,54182
vfarcic/groundcover-demo,https://github.com/vfarcic/groundcover-demo,0,440
kesen-humblebundle/item-description,https://github.com/kesen-humblebundle/item-description,0,19954
PedroCoelho8/QSOFT-Projeto,https://github.com/PedroCoelho8/QSOFT-Projeto,0,319387
eswaryalakanti/Learning-Management-system,https://github.com/eswaryalakanti/Learning-Management-system,0,14845
nahomaron/anastasia_springboot,https://github.com/nahomaron/anastasia_springboot,0,37393
MatheusGFritzke/chaos-test,https://github.com/MatheusGFritzke/chaos-test,0,8999
steadybit/examples,https://github.com/steadybit/examples,0,41
getBlackBadge/3rd-concert,https://github.com/getBlackBadge/3rd-concert,0,17956
ham2k/lib-callsigns,https://github.com/ham2k/lib-callsigns,1,8091
carlaferrarez/poc-istio-envoyfilter,https://github.com/carlaferrarez/poc-istio-envoyfilter,2,378
nadiaalnd/Performance-Test-Adamlabs-Demo,https://github.com/nadiaalnd/Performance-Test-Adamlabs-Demo,0,1148
eixfix/smcc-load-test,https://github.com/eixfix/smcc-load-test,0,737
YallaPapi/all-purpose,https://github.com/YallaPapi/all-purpose,0,11139489
rpp36-sdc-smtp/smtp-serena-QnA,https://github.com/rpp36-sdc-smtp/smtp-serena-QnA,0,13505
lelold/pvz,https://github.com/lelold/pvz,0,3973
kyourselfer/OTUS_SRE202207,https://github.com/kyourselfer/OTUS_SRE202207,0,28112
Qwitter/Qwitter-Testing,https://github.com/Qwitter/Qwitter-Testing,2,30812
lionelschiepers/DemoMinimalAPI,https://github.com/lionelschiepers/DemoMinimalAPI,0,1151
vini2sousa/banking-process,https://github.com/vini2sousa/banking-process,0,1314
rkhokhla/kakeya,https://github.com/rkhokhla/kakeya,2,591061
airellbachtiar/RaffleShopping-Backend,https://github.com/airellbachtiar/RaffleShopping-Backend,1,3529
snothub/snothub.github.io,https://github.com/snothub/snothub.github.io,0,3797
jsvitorm/ponderadasemana9m9,https://github.com/jsvitorm/ponderadasemana9m9,0,364
wildananugrah/belajar,https://github.com/wildananugrah/belajar,0,1079184
DFE-Digital/publish-teacher-training,https://github.com/DFE-Digital/publish-teacher-training,10,180049
beatrizfteixeira/performance-mvc-webflux,https://github.com/beatrizfteixeira/performance-mvc-webflux,0,661451
up2code/demo-dev-container,https://github.com/up2code/demo-dev-container,0,8973
tielefernandes/cursos-rapidos-2023,https://github.com/tielefernandes/cursos-rapidos-2023,0,195
Napat/k6_loadtest,https://github.com/Napat/k6_loadtest,0,3531
sipe-team/3-1_spurt,https://github.com/sipe-team/3-1_spurt,16,80830
nadiaalnd/Performance-Test-Adameds-V3,https://github.com/nadiaalnd/Performance-Test-Adameds-V3,0,9130
spk364/procomp,https://github.com/spk364/procomp,0,29133
ittipol/CICD-GitOps-Observability,https://github.com/ittipol/CICD-GitOps-Observability,0,55245
KMGeon/hhplus-e-commerce,https://github.com/KMGeon/hhplus-e-commerce,0,18239
sardagsoftware/borsa,https://github.com/sardagsoftware/borsa,0,3623793
padok-team/dojo-kubernetes-eks,https://github.com/padok-team/dojo-kubernetes-eks,0,6369
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,0,753872
grafana/xk6-output-example,https://github.com/grafana/xk6-output-example,0,1851
PacktPublishing/Implementing-Event-Driven-Architecture-in-.NET-5,https://github.com/PacktPublishing/Implementing-Event-Driven-Architecture-in-.NET-5,2,1845
cortezalberto/pruebaMar,https://github.com/cortezalberto/pruebaMar,0,141
hugogu/rt-balance,https://github.com/hugogu/rt-balance,0,7830
Arch-Frost/Tripify,https://github.com/Arch-Frost/Tripify,0,129851
Meldiron/appwrite-functions-benchmark,https://github.com/Meldiron/appwrite-functions-benchmark,0,513
khulnasoft/kenbench,https://github.com/khulnasoft/kenbench,0,73405
triszt4n/streamzen-monorepo,https://github.com/triszt4n/streamzen-monorepo,0,28322
wildanfaz/be_vehiclerental,https://github.com/wildanfaz/be_vehiclerental,1,2914
inspire12/inspire12-api,https://github.com/inspire12/inspire12-api,0,8964
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,0,3672
SwissLife-OSS/K6-MultiScenario-template,https://github.com/SwissLife-OSS/K6-MultiScenario-template,55,1361
pcristin/not_golang_contest,https://github.com/pcristin/not_golang_contest,0,3196
zapier/prom-aggregation-gateway,https://github.com/zapier/prom-aggregation-gateway,151,3913
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,0,15624
saimanikumar67/k6_scripts_testing,https://github.com/saimanikumar67/k6_scripts_testing,1,129981
szypulka/pt-as,https://github.com/szypulka/pt-as,0,2117
YevhenVieskov/k6-dynamic-pods,https://github.com/YevhenVieskov/k6-dynamic-pods,1,3042
clusterspace-io/SuperQueue,https://github.com/clusterspace-io/SuperQueue,1,4630
SolidMaster568/voluntarily-mern,https://github.com/SolidMaster568/voluntarily-mern,1,128623
SyBeRGEN/web_tours_k6_test,https://github.com/SyBeRGEN/web_tours_k6_test,0,417
venuthomas/API_7_Ways,https://github.com/venuthomas/API_7_Ways,3,3682
KontonGu/MLPerf-Inference-Benchmark-FaST-GShare,https://github.com/KontonGu/MLPerf-Inference-Benchmark-FaST-GShare,0,1277
adi-testing/k6-performance-tests,https://github.com/adi-testing/k6-performance-tests,0,195
allcleardev/performance-tests,https://github.com/allcleardev/performance-tests,0,552
yogibaba2/k6-mnee,https://github.com/yogibaba2/k6-mnee,0,7434
fujiwara/sfn-dist-k6,https://github.com/fujiwara/sfn-dist-k6,1,196
Hanumansai72/Backend,https://github.com/Hanumansai72/Backend,1,9085
shayancoin/paform,https://github.com/shayancoin/paform,1,89511
dongnguyenduybang/k6-report,https://github.com/dongnguyenduybang/k6-report,0,33514
usmansaleem/signers_docker_compose,https://github.com/usmansaleem/signers_docker_compose,10,3116
Informatievlaanderen/registry-testing,https://github.com/Informatievlaanderen/registry-testing,1,1473
gabrielstar/k6training,https://github.com/gabrielstar/k6training,3,11581
mwebler/railway-test,https://github.com/mwebler/railway-test,0,613
Ovi/DummyJSON,https://github.com/Ovi/DummyJSON,2554,75664
unknowntpo/playground-2022,https://github.com/unknowntpo/playground-2022,0,680941
julianshen/yatagarasu,https://github.com/julianshen/yatagarasu,0,149149
CHOHYUNHWA/concert-reservation-service,https://github.com/CHOHYUNHWA/concert-reservation-service,0,10619
matejuh/demo-gateway,https://github.com/matejuh/demo-gateway,0,590
SMACAcademy/Mastery-Course-on-Grafana-Labs-k6---Performance-Testing,https://github.com/SMACAcademy/Mastery-Course-on-Grafana-Labs-k6---Performance-Testing,2,11023
sdc-jackson/user-service,https://github.com/sdc-jackson/user-service,0,15009
Icf22/k6,https://github.com/Icf22/k6,0,947
sf1tzp/symbology,https://github.com/sf1tzp/symbology,1,28927
SamikshyaS/loadTest,https://github.com/SamikshyaS/loadTest,0,73
RustTest/wavReader,https://github.com/RustTest/wavReader,0,2965
ydarias/xk6-nats,https://github.com/ydarias/xk6-nats,15,1671
data-altinn-no/k6-tests,https://github.com/data-altinn-no/k6-tests,0,523
srperf/k6Modular,https://github.com/srperf/k6Modular,0,254
DiogoRibeiro7/git-actions-collection,https://github.com/DiogoRibeiro7/git-actions-collection,0,10816
JS-Ranker/Monitoreo_k6,https://github.com/JS-Ranker/Monitoreo_k6,0,1505
rebook-130/photos-service,https://github.com/rebook-130/photos-service,0,16183
pryzmian/ScuttleCrab,https://github.com/pryzmian/ScuttleCrab,0,11713
afiffahreza/online-AutoLog,https://github.com/afiffahreza/online-AutoLog,0,6451
LauroDF/FinalChallenge,https://github.com/LauroDF/FinalChallenge,0,184699
Examgruppe2022/chatman,https://github.com/Examgruppe2022/chatman,0,16425
vfarcic/keda-demo,https://github.com/vfarcic/keda-demo,1,140
UKHO/exchange-set-service,https://github.com/UKHO/exchange-set-service,7,183369
WizziGameDev/k6-performance-testing,https://github.com/WizziGameDev/k6-performance-testing,0,101
rancher/dartboard,https://github.com/rancher/dartboard,6,147634
mpowrd/SoftwareMaintenanceAndTesting,https://github.com/mpowrd/SoftwareMaintenanceAndTesting,0,9760
wy8162/study-ktor,https://github.com/wy8162/study-ktor,0,1079
skursatToklucu/LoadProbe,https://github.com/skursatToklucu/LoadProbe,0,655
rfigueroa21/Laboratorio3,https://github.com/rfigueroa21/Laboratorio3,0,234
joergstreeck/freshplan-sales-tool,https://github.com/joergstreeck/freshplan-sales-tool,0,1735440
weigen393/DataCat,https://github.com/weigen393/DataCat,7,14400
thetkpark/cscms-services-deployment,https://github.com/thetkpark/cscms-services-deployment,4,1496
biancabelea/Mentum,https://github.com/biancabelea/Mentum,0,29887
paulojr83/k6-typescript,https://github.com/paulojr83/k6-typescript,0,5250
skgmfbs/ItHink,https://github.com/skgmfbs/ItHink,0,11655
SaifAutomatron/k6,https://github.com/SaifAutomatron/k6,0,1727
opencloud-eu/cdperf,https://github.com/opencloud-eu/cdperf,0,56299
inspire12/performance-testing-architecture,https://github.com/inspire12/performance-testing-architecture,0,10610
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,0,4541
lakhyakotnala/ipython,https://github.com/lakhyakotnala/ipython,0,30593
KontonGu/HAS-GPU,https://github.com/KontonGu/HAS-GPU,1,475153
hoangnm-ndm/dummyjson,https://github.com/hoangnm-ndm/dummyjson,0,75397
madhurendra1/DummyJSON,https://github.com/madhurendra1/DummyJSON,0,70085
any4ai/AnyCrawl,https://github.com/any4ai/AnyCrawl,2430,72802
bcgov/healthgateway,https://github.com/bcgov/healthgateway,52,910911
buildfarm/buildfarm,https://github.com/buildfarm/buildfarm,745,101557
s00d/nuxt-i18n-micro,https://github.com/s00d/nuxt-i18n-micro,215,754048
voluntarily/vly2,https://github.com/voluntarily/vly2,108,150271
firmansyah-github/quarkus-generated-test,https://github.com/firmansyah-github/quarkus-generated-test,0,220180
metasfresh/metasfresh,https://github.com/metasfresh/metasfresh,2158,7125289
ekansh-katihar/chat_app,https://github.com/ekansh-katihar/chat_app,0,1679997
Maverick0351a/oscillinklatticedb,https://github.com/Maverick0351a/oscillinklatticedb,0,18318
mattbdean/Helium,https://github.com/mattbdean/Helium,10,29330
JiwonDev/test-word,https://github.com/JiwonDev/test-word,0,10540
saint1991/samples,https://github.com/saint1991/samples,0,36882
JavierSpartan-117/SQA_Semana_9,https://github.com/JavierSpartan-117/SQA_Semana_9,0,101
NashTech-Labs/grafana-k6,https://github.com/NashTech-Labs/grafana-k6,0,990
khvalbotaihor/test-api_k6_api_app,https://github.com/khvalbotaihor/test-api_k6_api_app,0,3111
wizenheimer/periscope,https://github.com/wizenheimer/periscope,8,8755
Krithikeswaranmk/final_helyxon,https://github.com/Krithikeswaranmk/final_helyxon,0,217304
likesistemas/nginx,https://github.com/likesistemas/nginx,0,1613
rpp33-sdc-daisy/products-service,https://github.com/rpp33-sdc-daisy/products-service,0,13026
DaniTavaresSantos/NotificationService,https://github.com/DaniTavaresSantos/NotificationService,1,1727
somospragma/qa-performance-k6,https://github.com/somospragma/qa-performance-k6,0,407
blueswen/pycon-tw-2024-python-observability,https://github.com/blueswen/pycon-tw-2024-python-observability,11,3382
TAIMROIAL1/sy-w,https://github.com/TAIMROIAL1/sy-w,0,34974
JoaoChoma/testedesoftware2025,https://github.com/JoaoChoma/testedesoftware2025,2,18762
HellRok/jstris-companion,https://github.com/HellRok/jstris-companion,1,408
matfritzen/k6-tests,https://github.com/matfritzen/k6-tests,0,1350
pornpasok/k6-7chat,https://github.com/pornpasok/k6-7chat,0,935
ducnt114/go-getting-started,https://github.com/ducnt114/go-getting-started,1,312
TAEPAPER/hhplus-2week-server,https://github.com/TAEPAPER/hhplus-2week-server,0,8463
beincom/bic-notification-perf-load,https://github.com/beincom/bic-notification-perf-load,0,125100
azophy/loadtest-tools-benchmark,https://github.com/azophy/loadtest-tools-benchmark,7,1996
evc8p/gehtsoft-study,https://github.com/evc8p/gehtsoft-study,0,8745
col3name/balance-service,https://github.com/col3name/balance-service,0,6230
rzenkov/perfplayground,https://github.com/rzenkov/perfplayground,0,4850
elrison/teste-desempenho-teastore,https://github.com/elrison/teste-desempenho-teastore,0,9012
airenas/audio-convert-rs,https://github.com/airenas/audio-convert-rs,0,4700
al-mentor/performance-test,https://github.com/al-mentor/performance-test,0,1586
quantlibjs/test-suite,https://github.com/quantlibjs/test-suite,0,43826
arjunbalussery/kotlin-async,https://github.com/arjunbalussery/kotlin-async,1,2566
WinnerOleg/ChessProfi,https://github.com/WinnerOleg/ChessProfi,0,31369
born-to-be-mad/azure-experiments,https://github.com/born-to-be-mad/azure-experiments,0,977
ronansay/next-web-app,https://github.com/ronansay/next-web-app,0,21052
arslanrao991/zzreal_worriors,https://github.com/arslanrao991/zzreal_worriors,1,20082
EscolaDnc/TesteEstabilidade,https://github.com/EscolaDnc/TesteEstabilidade,0,68
iago-abner/k6,https://github.com/iago-abner/k6,0,3922
PyRo1121/hetzner,https://github.com/PyRo1121/hetzner,0,1124074
Atelier-SystemDesign/products-system-1,https://github.com/Atelier-SystemDesign/products-system-1,0,16871
nuttydfgdf/APIM-Kong-Gateway-OSS,https://github.com/nuttydfgdf/APIM-Kong-Gateway-OSS,2,11591
cjchanx/SENG533-Project,https://github.com/cjchanx/SENG533-Project,0,160
ozontech/seq-db,https://github.com/ozontech/seq-db,98,303521
pwllxqc/amelichka,https://github.com/pwllxqc/amelichka,0,1582
